symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMD,2021-07-12 04:00:00+00:00,91.22,91.9,89.65,90.81,29354846.0,205920.0,90.485977
AMD,2021-07-13 04:00:00+00:00,90.48,91.41,89.8299,90.26,32167455.0,208887.0,90.571111
AMD,2021-07-14 04:00:00+00:00,90.76,91.395,88.94,89.05,29143609.0,210675.0,89.807079
AMD,2021-07-15 04:00:00+00:00,89.78,89.78,86.1801,86.93,40379334.0,295200.0,87.64275
AMD,2021-07-16 04:00:00+00:00,87.32,88.03,85.68,85.89,37311018.0,230626.0,86.577566
AMD,2021-07-19 04:00:00+00:00,84.99,87.2294,84.24,86.58,40250314.0,298256.0,86.093821
AMD,2021-07-20 04:00:00+00:00,87.09,87.77,85.165,87.11,29504275.0,202245.0,86.603627
AMD,2021-07-21 04:00:00+00:00,87.25,89.49,86.9,89.41,31744056.0,204823.0,88.727772
AMD,2021-07-22 04:00:00+00:00,89.4,91.36,89.08,91.21,35149745.0,237381.0,90.321076
AMD,2021-07-23 04:00:00+00:00,91.3484,92.37,90.19,92.15,32859744.0,225084.0,91.544298
AMD,2021-07-26 04:00:00+00:00,92.01,92.75,91.12,91.82,28907469.0,203810.0,91.868973
AMD,2021-07-27 04:00:00+00:00,92.94,94.1,89.1,91.03,70728752.0,450598.0,91.143697
AMD,2021-07-28 04:00:00+00:00,93.44,98.71,89.65,97.93,142654955.0,814596.0,95.739742
AMD,2021-07-29 04:00:00+00:00,96.58,105.74,96.58,102.95,165727745.0,965438.0,102.742168
AMD,2021-07-30 04:00:00+00:00,101.6,106.97,101.38,106.19,127561375.0,705799.0,105.702623
AMD,2021-08-02 04:00:00+00:00,105.93,110.33,103.83,108.63,116943797.0,701609.0,108.120823
AMD,2021-08-03 04:00:00+00:00,108.15,114.85,107.66,112.56,159040656.0,886375.0,111.669469
AMD,2021-08-04 04:00:00+00:00,114.36,122.49,114.16,118.77,227026199.0,1381844.0,118.945443
AMD,2021-08-05 04:00:00+00:00,116.63,117.68,111.59,112.35,139635793.0,840164.0,113.816661
AMD,2021-08-06 04:00:00+00:00,110.55,116.2599,109.7,110.11,145454028.0,812222.0,113.055795
AMD,2021-08-09 04:00:00+00:00,111.31,112.33,107.06,107.58,118108302.0,640909.0,109.432197
AMD,2021-08-10 04:00:00+00:00,107.895,109.17,104.36,106.48,113942295.0,616171.0,106.86642
AMD,2021-08-11 04:00:00+00:00,107.6,109.79,105.62,107.68,92719118.0,512441.0,107.813733
AMD,2021-08-12 04:00:00+00:00,107.39,108.44,105.86,106.5,61549651.0,341267.0,106.989292
AMD,2021-08-13 04:00:00+00:00,107.17,111.71,106.57,110.55,102694426.0,532232.0,109.995828
AMD,2021-08-16 04:00:00+00:00,110.2,111.58,105.865,107.48,74870823.0,440819.0,107.653049
AMD,2021-08-17 04:00:00+00:00,106.6435,108.7,105.35,107.56,75193698.0,405803.0,107.146986
AMD,2021-08-18 04:00:00+00:00,107.35,108.07,103.27,103.44,80420895.0,471460.0,105.17919
AMD,2021-08-19 04:00:00+00:00,103.315,106.18,101.975,103.7,72473107.0,458938.0,104.088278
AMD,2021-08-20 04:00:00+00:00,104.32,105.98,103.99,104.65,56656062.0,302412.0,104.84595
AMD,2021-08-23 04:00:00+00:00,105.295,109.02,104.86,108.77,70246253.0,434686.0,107.269083
AMD,2021-08-24 04:00:00+00:00,109.45,109.61,107.28,107.65,52458371.0,322309.0,108.139988
AMD,2021-08-25 04:00:00+00:00,108.13,109.91,107.45,108.3,46343919.0,297197.0,108.502265
AMD,2021-08-26 04:00:00+00:00,108.57,109.2299,106.84,107.27,52303062.0,292879.0,107.935051
AMD,2021-08-27 04:00:00+00:00,108.01,111.78,107.8,111.4,62311462.0,376220.0,110.627529
AMD,2021-08-30 04:00:00+00:00,112.61,114.4899,111.26,111.32,57592259.0,359955.0,112.438475
AMD,2021-08-31 04:00:00+00:00,111.26,111.26,109.0343,110.72,51226107.0,286250.0,110.344305
AMD,2021-09-01 04:00:00+00:00,111.3,111.85,109.85,109.99,39444880.0,239759.0,110.738929
AMD,2021-09-02 04:00:00+00:00,110.355,110.88,108.77,109.2,40975682.0,254782.0,109.714906
AMD,2021-09-03 04:00:00+00:00,108.85,111.17,108.5,109.92,43535522.0,253881.0,110.180775
AMD,2021-09-07 04:00:00+00:00,109.955,110.58,108.66,109.15,30139721.0,212740.0,109.314998
AMD,2021-09-08 04:00:00+00:00,108.88,109.3,105.52,106.17,44461756.0,331085.0,106.687965
AMD,2021-09-09 04:00:00+00:00,106.56,107.2953,105.84,106.15,32682503.0,215574.0,106.507811
AMD,2021-09-10 04:00:00+00:00,106.99,106.9913,104.98,105.2,33439648.0,238373.0,106.024736
AMD,2021-09-13 04:00:00+00:00,105.26,105.28,102.63,104.8,38620657.0,292577.0,103.884447
AMD,2021-09-14 04:00:00+00:00,105.52,106.82,104.42,105.73,41384475.0,280796.0,105.807177
AMD,2021-09-15 04:00:00+00:00,106.0,106.32,104.03,105.6,38963253.0,252941.0,104.957421
